surah,themeSlug,themeTitle,perThousand
25,striving,Effort and striving,2.2
26,brotherhood,Brotherhood and community,9.9
26,fear-hope,Fear and hope,3.8
26,healing,Illness and healing,1.5
27,peace,Peace and reconciliation,9.6
27,gratitude,Gratitude,4.3
27,certainty,Certainty and doubt,3.5
27,joy-sorrow,Joy and sorrow,1.7
28,fear-hope,Fear and hope,6.3
28,joy-sorrow,Joy and sorrow,3.5
28,sincerity,Sincerity,1.4
29,knowledge,Knowledge and reflection,26.6
29,striving,Effort and striving,4.1
30,death,Death and mortality,9.8
30,fear-hope,Fear and hope,3.7
30,joy-sorrow,Joy and sorrow,3.7
31,children,Children and family,18.3
31,gratitude,Gratitude,9.2
31,wisdom,Wisdom,7.3
31,blessing,Blessing,5.5
31,love,Love,3.7
32,guidance,Guidance and light,18.8
32,certainty,Certainty and doubt,8.1
33,marriage,Marriage and spouses,11.7
33,charity,Charity and giving,6.2
33,trust,Trust in God,3.1
33,healing,Illness and healing,2.3
33,fasting,Fasting,1.6
34,paradise,Paradise,9.1
34,gratitude,Gratitude,4.5
35,death,Death and mortality,5.2
35,gratitude,Gratitude,3.9
36,gratitude,Gratitude,2.8
37,peace,Peace and reconciliation,11.6
37,sincerity,Sincerity,5.8
38,tyranny,Tyranny and transgression,5.5
38,sincerity,Sincerity,4.1
38,hellfire,Hellfire and consequence,2.7
38,love,Love,2.7
39,sincerity,Sincerity,3.4
39,trust,Trust in God,3.4
40,arrogance,Arrogance and humility,9
40,sincerity,Sincerity,1.6
42,justice,Justice,10.5
42,tyranny,Tyranny and transgression,4.7
42,pilgrimage,Pilgrimage,3.5
42,trust,Trust in God,3.5
42,anger,Anger and restraint,2.3
42,certainty,Certainty and doubt,2.3
42,gratitude,Gratitude,2.3
44,death,Death and mortality,11.6
45,certainty,Certainty and doubt,10.2
45,death,Death and mortality,8.2
45,wisdom,Wisdom,8.2
45,arrogance,Arrogance and humility,6.1
47,peace,Peace and reconciliation,9.3
47,healing,Illness and healing,3.7
48,covenant,Covenant and fulfillment,3.6
49,knowledge,Knowledge and reflection,25.9
49,peace,Peace and reconciliation,17.3
49,forgiveness,Forgiveness,14.4
49,justice,Justice,11.5
49,brotherhood,Brotherhood and community,8.6
49,love,Love,8.6
49,tyranny,Tyranny and transgression,5.8
50,death,Death and mortality,10.7
51,paradise,Paradise,11.1
51,fear-hope,Fear and hope,8.3
51,peace,Peace and reconciliation,8.3
52,children,Children and family,12.8
52,blessing,Blessing,6.4
52,certainty,Certainty and doubt,6.4
53,knowledge,Knowledge and reflection,22.2
53,covenant,Covenant and fulfillment,5.6
53,tyranny,Tyranny and transgression,5.6
54,prayer,Prayer and remembrance,43.9
54,truthfulness,Truthfulness and falsehood,29.2
54,patience,Patience and trial,17.5
54,hellfire,Hellfire and consequence,5.8
55,truthfulness,Truthfulness and falsehood,91.2
55,paradise,Paradise,22.8
55,trade,Trade and wealth,11.4
55,tyranny,Tyranny and transgression,5.7
56,blessing,Blessing,5.3
56,death,Death and mortality,5.3
57,guidance,Guidance and light,13.9
57,charity,Charity and giving,12.2
59,brotherhood,Brotherhood and community,9
60,charity,Charity and giving,11.5
60,wisdom,Wisdom,11.5
60,marriage,Marriage and spouses,8.6
61,children,Children and family,22.6
61,guidance,Guidance and light,22.6
61,justice,Justice,9
61,love,Love,9
61,paradise,Paradise,9
61,trade,Trade and wealth,9
62,prayer,Prayer and remembrance,28.6
62,knowledge,Knowledge and reflection,22.9
62,trade,Trade and wealth,17.1
62,wisdom,Wisdom,17.1
62,death,Death and mortality,11.4
62,justice,Justice,11.4
63,charity,Charity and giving,33.3
63,forgiveness,Forgiveness,22.2
64,forgiveness,Forgiveness,20.7
64,guidance,Guidance and light,16.6
64,brotherhood,Brotherhood and community,8.3
65,patience,Patience and trial,13.9
65,charity,Charity and giving,10.5
65,justice,Justice,10.5
65,marriage,Marriage and spouses,7
66,forgiveness,Forgiveness,24.1
66,guidance,Guidance and light,16.1
66,marriage,Marriage and spouses,16.1
66,peace,Peace and reconciliation,12
67,hellfire,Hellfire and consequence,9
68,paradise,Paradise,13.3
68,blessing,Blessing,10
68,peace,Peace and reconciliation,10
68,wisdom,Wisdom,10
68,arrogance,Arrogance and humility,6.7
69,tyranny,Tyranny and transgression,7.8
70,brotherhood,Brotherhood and community,13.8
70,paradise,Paradise,9.2
71,forgiveness,Forgiveness,22.1
71,children,Children and family,17.7
71,arrogance,Arrogance and humility,13.3
71,trade,Trade and wealth,8.8
72,paradise,Paradise,10.5
72,peace,Peace and reconciliation,10.5
73,forgiveness,Forgiveness,15.1
73,patience,Patience and trial,15.1
74,prayer,Prayer and remembrance,23.5
74,arrogance,Arrogance and humility,11.8
74,certainty,Certainty and doubt,11.8
75,brotherhood,Brotherhood and community,18.3
76,gratitude,Gratitude,12.3
76,patience,Patience and trial,12.3
76,fear-hope,Fear and hope,8.2
76,love,Love,8.2
76,wisdom,Wisdom,8.2
77,truthfulness,Truthfulness and falsehood,60.8
77,marriage,Marriage and spouses,11
78,truthfulness,Truthfulness and falsehood,17.3
79,prayer,Prayer and remembrance,22.3
79,arrogance,Arrogance and humility,16.8
79,tyranny,Tyranny and transgression,11.2
80,prayer,Prayer and remembrance,30.1
80,charity,Charity and giving,15
81,knowledge,Knowledge and reflection,28.8
81,paradise,Paradise,19.2
82,knowledge,Knowledge and reflection,25
83,truthfulness,Truthfulness and falsehood,23.7
83,trade,Trade and wealth,17.8
83,blessing,Blessing,11.8
84,hellfire,Hellfire and consequence,18.7
85,forgiveness,Forgiveness,18.3
87,prayer,Prayer and remembrance,83.3
87,guidance,Guidance and light,27.8
87,patience,Patience and trial,27.8
88,arrogance,Arrogance and humility,21.7
89,love,Love,14.6
89,patience,Patience and trial,14.6
90,children,Children and family,36.6
90,guidance,Guidance and light,24.4
91,truthfulness,Truthfulness and falsehood,37
92,patience,Patience and trial,56.3
92,truthfulness,Truthfulness and falsehood,42.3
92,guidance,Guidance and light,28.2
92,trade,Trade and wealth,28.2
93,children,Children and family,50
94,patience,Patience and trial,148.1
95,wisdom,Wisdom,58.8
96,knowledge,Knowledge and reflection,55.6
96,prayer,Prayer and remembrance,41.7
96,truthfulness,Truthfulness and falsehood,27.8
99,children,Children and family,55.6
101,trade,Trade and wealth,55.6
102,knowledge,Knowledge and reflection,142.9
102,certainty,Certainty and doubt,71.4
104,trade,Trade and wealth,60.6
107,prayer,Prayer and remembrance,80
110,forgiveness,Forgiveness,105.3
112,children,Children and family,133.3
