stream,n,display,arabic,count,firstSurah,firstVerse
root,4,a-m-n · a-l-h · y-w-m · a-kh-r,ا م ن ا ل ه ي و م ا خ ر,22,2,8
surface,3,إن الله كان,إن الله كان,22,4,1
surface,3,الله غفور رحيم,الله غفور رحيم,22,2,173
root,3,a-l-h · s-m-ʿ · ʿ-l-m,ا ل ه س م ع ع ل م,21,2,137
root,3,f-r-y · a-l-h · k-dh-b,ف ر ي ا ل ه ك ذ ب,21,3,94
root,3,m-l-k · s-m-w · a-r-ḍ,م ل ك س م و ا ر ض,21,2,107
root,3,n-ẓ-r · k-y-f · k-w-n,ن ظ ر ك ي ف ك و ن,21,3,137
root,4,n-ẓ-r · k-y-f · k-w-n · ʿ-q-b,ن ظ ر ك ي ف ك و ن ع ق ب,21,3,137
surface,3,كيف كان عقبة,كيف كان عقبة,21,3,137
surface,3,من قبل أن,من قبل أن,21,2,237
root,3,a-l-h · ʿ-l-m · ḥ-k-m,ا ل ه ع ل م ح ك م,20,4,17
root,3,n-z-l · s-m-w · m-w-h,ن ز ل س م و م و ه,20,2,22
root,3,s-m-w · a-r-ḍ · b-y-n,س م و ا ر ض ب ي ن,20,5,17
root,3,t-ḥ-t · n-h-r · kh-l-d,ت ح ت ن ه ر خ ل د,20,3,15
root,4,j-r-y · t-ḥ-t · n-h-r · kh-l-d,ج ر ي ت ح ت ن ه ر خ ل د,20,3,15
surface,3,الأنهر خلدين فيها,الأنهر خلدين فيها,20,3,15
surface,3,تحتها الأنهر خلدين,تحتها الأنهر خلدين,20,3,15
surface,3,فى ذلك لءاية,فى ذلك لءاية,20,2,248
surface,3,من السماء ماء,من السماء ماء,20,2,22
surface,4,إن فى ذلك لءاية,إن فى ذلك لءاية,20,2,248
surface,4,تحتها الأنهر خلدين فيها,تحتها الأنهر خلدين فيها,20,3,15
root,3,a-l-h · h-d-y · q-w-m,ا ل ه ه د ي ق و م,19,2,258
root,3,ṣ-d-d · s-b-l · a-l-h,ص د د س ب ل ا ل ه,19,2,217
root,5,j-n-n · j-r-y · t-ḥ-t · n-h-r · kh-l-d,ج ن ن ج ر ي ت ح ت ن ه ر خ ل د,19,3,15
surface,3,بالله واليوم الءاخر,بالله واليوم الءاخر,19,2,62
surface,3,فى الحيوة الدنيا,فى الحيوة الدنيا,19,2,85
surface,3,لا يهدى القوم,لا يهدى القوم,19,2,258
surface,3,ملك السموت والأرض,ملك السموت والأرض,19,2,107
surface,3,والأرض وما بينهما,والأرض وما بينهما,19,5,17
surface,4,من تحتها الأنهر خلدين,من تحتها الأنهر خلدين,19,3,15
surface,5,تجرى من تحتها الأنهر خلدين,تجرى من تحتها الأنهر خلدين,19,3,15
surface,5,من تحتها الأنهر خلدين فيها,من تحتها الأنهر خلدين فيها,19,3,15
root,3,a-m-n · a-l-h · r-s-l,ا م ن ا ل ه ر س ل,18,3,179
root,3,d-ʿ-w · d-w-n · a-l-h,د ع و د و ن ا ل ه,18,6,56
surface,3,إن الذين كفروا,إن الذين كفروا,18,2,6
surface,3,الله على كل,الله على كل,18,2,20
surface,3,ما كانوا يعملون,ما كانوا يعملون,18,5,62
root,3,q-t-l · s-b-l · a-l-h,ق ت ل س ب ل ا ل ه,17,2,154
surface,3,أكثر الناس لا,أكثر الناس لا,17,2,243
surface,3,الله ما لا,الله ما لا,17,2,80
surface,3,من عند الله,من عند الله,17,2,79
surface,3,ولكن أكثر الناس,ولكن أكثر الناس,17,2,243
surface,4,السموت والأرض وما بينهما,السموت والأرض وما بينهما,17,5,17
surface,4,الله على كل شىء,الله على كل شىء,17,2,20
surface,4,ولكن أكثر الناس لا,ولكن أكثر الناس لا,17,2,243
root,3,ʿ-b-d · d-w-n · a-l-h,ع ب د د و ن ا ل ه,16,3,79
root,3,s-m-w · a-r-ḍ · a-l-h,س م و ا ر ض ا ل ه,16,3,29
surface,3,إن الذين ءامنوا,إن الذين ءامنوا,16,2,62
surface,3,إن كنتم مؤمنين,إن كنتم مؤمنين,16,2,91
surface,3,الذين أوتوا الكتب,الذين أوتوا الكتب,16,2,101
surface,3,بكل شىء عليم,بكل شىء عليم,16,2,29
surface,3,بما كنتم تعملون,بما كنتم تعملون,16,5,105
surface,3,هم فيها خلدون,هم فيها خلدون,16,2,39
root,3,a-l-h · r-b-b · ʿ-l-m,ا ل ه ر ب ب ع ل م,15,1,2
root,3,b-y-n · y-d-y · kh-l-f,ب ي ن ي د ي خ ل ف,15,2,66
surface,3,أكثرهم لا يعلمون,أكثرهم لا يعلمون,15,6,37
surface,3,ألم تر إلى,ألم تر إلى,15,2,243
surface,3,إن هذا إلا,إن هذا إلا,15,5,110
surface,3,والله بما تعملون,والله بما تعملون,15,2,234
root,3,ṭ-w-ʿ · a-l-h · r-s-l,ط و ع ا ل ه ر س ل,14,3,32
root,4,a-l-h · k-l-l · sh-y-a · ʿ-l-m,ا ل ه ك ل ل ش ي ا ع ل م,14,2,231
surface,3,إن الله غفور,إن الله غفور,14,2,173
surface,3,الذين لا يؤمنون,الذين لا يؤمنون,14,6,113
surface,3,ذلك لءايت لقوم,ذلك لءايت لقوم,14,10,67
surface,3,على الله كذبا,على الله كذبا,14,6,21
surface,3,ما لكم من,ما لكم من,14,7,59
surface,3,من يشاء والله,من يشاء والله,14,2,105
surface,4,فى ذلك لءايت لقوم,فى ذلك لءايت لقوم,14,10,67
surface,5,إن فى ذلك لءايت لقوم,إن فى ذلك لءايت لقوم,14,10,67
root,3,a-r-ḍ · n-ẓ-r · k-y-f,ا ر ض ن ظ ر ك ي ف,13,3,137
root,3,a-kh-dh · d-w-n · a-l-h,ا خ ذ د و ن ا ل ه,13,2,165
root,3,d-w-n · a-l-h · w-l-y,د و ن ا ل ه و ل ي,13,2,107
root,3,w-ʿ-d · a-l-h · ḥ-q-q,و ع د ا ل ه ح ق ق,13,4,122
surface,3,الذين كفروا من,الذين كفروا من,13,2,105
surface,3,فى الدنيا والءاخرة,فى الدنيا والءاخرة,13,2,217
surface,3,فى ضلل مبين,فى ضلل مبين,13,6,74
surface,3,كانوا به يستهزءون,كانوا به يستهزءون,13,6,5
surface,3,ما أنزل الله,ما أنزل الله,13,2,170
surface,3,وإذا قيل لهم,وإذا قيل لهم,13,2,11
surface,3,والله عليم حكيم,والله عليم حكيم,13,4,26
surface,3,والله غفور رحيم,والله غفور رحيم,13,2,218
surface,3,ولا هم يحزنون,ولا هم يحزنون,13,2,38
root,3,a-l-h · ʿ-m-l · b-ṣ-r,ا ل ه ع م ل ب ص ر,12,2,110
root,3,ḥ-y-y · d-n-w · a-kh-r,ح ي ي د ن و ا خ ر,12,2,86
root,3,j-z-y · k-w-n · ʿ-m-l,ج ز ي ك و ن ع م ل,12,7,147
root,3,r-b-b · s-m-w · a-r-ḍ,ر ب ب س م و ا ر ض,12,13,16
root,3,ṣ-d-q · b-y-n · y-d-y,ص د ق ب ي ن ي د ي,12,2,97
root,3,s-y-r · a-r-ḍ · n-ẓ-r,س ي ر ا ر ض ن ظ ر,12,3,137
root,3,w-q-y · a-l-h · ṭ-w-ʿ,و ق ي ا ل ه ط و ع,12,3,50
root,4,s-y-r · a-r-ḍ · n-ẓ-r · k-y-f,س ي ر ا ر ض ن ظ ر ك ي ف,12,3,137
surface,3,إلى صرط مستقيم,إلى صرط مستقيم,12,2,142
surface,3,إلى يوم القيمة,إلى يوم القيمة,12,3,55
surface,3,افترى على الله,افترى على الله,12,3,94
surface,3,الذى خلق السموت,الذى خلق السموت,12,6,1
surface,3,الصلوة وءاتوا الزكوة,الصلوة وءاتوا الزكوة,12,2,43
surface,3,بما تعملون بصير,بما تعملون بصير,12,2,110
surface,3,تر إلى الذين,تر إلى الذين,12,2,243
surface,3,خوف عليهم ولا,خوف عليهم ولا,12,2,38
surface,3,عليم بذات الصدور,عليم بذات الصدور,12,3,119
surface,3,عليهم ولا هم,عليهم ولا هم,12,2,38
surface,3,عنهم ما كانوا,عنهم ما كانوا,12,6,24
surface,3,لكم إن كنتم,لكم إن كنتم,12,2,184
surface,3,من أهل الكتب,من أهل الكتب,12,2,105
surface,3,من بعد ذلك,من بعد ذلك,12,2,52
surface,3,من فى السموت,من فى السموت,12,3,83
surface,3,واعلموا أن الله,واعلموا أن الله,12,2,194
surface,3,والله على كل,والله على كل,12,2,284
surface,3,والله لا يهدى,والله لا يهدى,12,2,258
surface,3,وقال الذين كفروا,وقال الذين كفروا,12,14,13
surface,3,ولهم عذاب أليم,ولهم عذاب أليم,12,2,10
surface,3,ولو شاء الله,ولو شاء الله,12,2,20
surface,3,وما أدرىك ما,وما أدرىك ما,12,69,3
surface,3,وهو العزيز الحكيم,وهو العزيز الحكيم,12,14,4
surface,4,ألم تر إلى الذين,ألم تر إلى الذين,12,2,243
surface,4,إن الله غفور رحيم,إن الله غفور رحيم,12,2,173
surface,4,الذى خلق السموت والأرض,الذى خلق السموت والأرض,12,6,1
surface,4,خوف عليهم ولا هم,خوف عليهم ولا هم,12,2,38
surface,4,عليهم ولا هم يحزنون,عليهم ولا هم يحزنون,12,2,38
surface,4,والله على كل شىء,والله على كل شىء,12,2,284
surface,4,والله لا يهدى القوم,والله لا يهدى القوم,12,2,258
surface,5,خوف عليهم ولا هم يحزنون,خوف عليهم ولا هم يحزنون,12,2,38
root,3,a-l-h · a-l-h · gh-f-r,ا ل ه ا ل ه غ ف ر,11,2,199
root,3,a-l-h · a-l-h · w-ḥ-d,ا ل ه ا ل ه و ح د,11,2,163
root,3,a-l-h · m-l-k · s-m-w,ا ل ه م ل ك س م و,11,2,107
root,3,ḍ-r-b · a-l-h · m-th-l,ض ر ب ا ل ه م ث ل,11,13,17
root,3,d-kh-l · j-n-n · j-r-y,د خ ل ج ن ن ج ر ي,11,3,195
root,3,ʿ-l-m · a-l-h · ʿ-l-m,ع ل م ا ل ه ع ل م,11,2,77
root,3,h-d-y · a-l-h · h-d-y,ه د ي ا ل ه ه د ي,11,2,120
root,3,h-d-y · ṣ-r-ṭ · q-w-m,ه د ي ص ر ط ق و م,11,1,6
root,3,j-y-a · r-s-l · b-y-n,ج ي ا ر س ل ب ي ن,11,5,15
root,3,k-f-r · a-y-y · a-l-h,ك ف ر ا ي ي ا ل ه,11,2,61
root,3,k-th-r · n-w-s · ʿ-l-m,ك ث ر ن و س ع ل م,11,7,187
root,3,k-w-n · a-l-h · gh-f-r,ك و ن ا ل ه غ ف ر,11,4,96
root,3,q-w-l · ḥ-m-d · a-l-h,ق و ل ح م د ا ل ه,11,7,43
root,3,q-w-m · ʿ-b-d · a-l-h,ق و م ع ب د ا ل ه,11,7,59
root,3,ṣ-ḥ-b · n-w-r · kh-l-d,ص ح ب ن و ر خ ل د,11,2,39
root,3,s-m-w · a-r-ḍ · k-w-n,س م و ا ر ض ك و ن,11,4,126
root,3,w-q-y · a-l-h · a-l-h,و ق ي ا ل ه ا ل ه,11,5,2
root,3,y-w-m · q-w-m · k-w-n,ي و م ق و م ك و ن,11,2,113
root,4,a-l-h · m-l-k · s-m-w · a-r-ḍ,ا ل ه م ل ك س م و ا ر ض,11,2,107
root,4,a-r-ḍ · n-ẓ-r · k-y-f · k-w-n,ا ر ض ن ظ ر ك ي ف ك و ن,11,3,137
root,4,d-kh-l · j-n-n · j-r-y · t-ḥ-t,د خ ل ج ن ن ج ر ي ت ح ت,11,3,195
root,5,a-r-ḍ · n-ẓ-r · k-y-f · k-w-n · ʿ-q-b,ا ر ض ن ظ ر ك ي ف ك و ن ع ق ب,11,3,137
root,5,d-kh-l · j-n-n · j-r-y · t-ḥ-t · n-h-r,د خ ل ج ن ن ج ر ي ت ح ت ن ه ر,11,3,195
root,5,s-y-r · a-r-ḍ · n-ẓ-r · k-y-f · k-w-n,س ي ر ا ر ض ن ظ ر ك ي ف ك و ن,11,3,137
surface,3,ألم تر أن,ألم تر أن,11,14,19
surface,3,إلى أجل مسمى,إلى أجل مسمى,11,2,282
surface,3,إن هو إلا,إن هو إلا,11,6,90
surface,3,الذى جعل لكم,الذى جعل لكم,11,2,22
surface,3,الذين ءامنوا إذا,الذين ءامنوا إذا,11,2,282
surface,3,الله لا يهدى,الله لا يهدى,11,5,51
surface,3,الناس لا يعلمون,الناس لا يعلمون,11,7,187
surface,3,خلدين فيها أبدا,خلدين فيها أبدا,11,4,57
surface,3,رب السموت والأرض,رب السموت والأرض,11,13,16
surface,3,فى الأرض وما,فى الأرض وما,11,10,66
surface,3,لا يؤمنون بالءاخرة,لا يؤمنون بالءاخرة,11,6,113
surface,3,لله ما فى,لله ما فى,11,2,284
surface,3,له ما فى,له ما فى,11,2,116
surface,3,ما كانوا به,ما كانوا به,11,6,5
surface,3,ما لا تعلمون,ما لا تعلمون,11,2,30
surface,3,والذين ءامنوا وعملوا,والذين ءامنوا وعملوا,11,2,82
surface,3,ولكن أكثرهم لا,ولكن أكثرهم لا,11,6,37
surface,3,وهم لا يظلمون,وهم لا يظلمون,11,2,281
surface,3,ويل يومئذ للمكذبين,ويل يومئذ للمكذبين,11,77,15
surface,3,يشاء من عباده,يشاء من عباده,11,2,90
surface,4,أكثر الناس لا يعلمون,أكثر الناس لا يعلمون,11,7,187
surface,4,لله ما فى السموت,لله ما فى السموت,11,2,284
surface,4,له ما فى السموت,له ما فى السموت,11,2,116
surface,4,ما فى السموت والأرض,ما فى السموت والأرض,11,2,116
surface,4,والذين ءامنوا وعملوا الصلحت,والذين ءامنوا وعملوا الصلحت,11,2,82
surface,4,يأيها الذين ءامنوا إذا,يأيها الذين ءامنوا إذا,11,2,282
surface,5,الله على كل شىء قدير,الله على كل شىء قدير,11,2,20
surface,5,ولكن أكثر الناس لا يعلمون,ولكن أكثر الناس لا يعلمون,11,7,187
root,3,a-l-h · sh-d-d · ʿ-q-b,ا ل ه ش د د ع ق ب,10,2,196
root,3,a-l-h · a-l-h · a-kh-r,ا ل ه ا ل ه ا خ ر,10,6,19
root,3,a-l-h · a-l-h · gh-y-r,ا ل ه ا ل ه غ ي ر,10,7,59
root,3,a-l-h · gh-n-y · ḥ-m-d,ا ل ه غ ن ي ح م د,10,2,267
root,3,b-y-n · a-l-h · a-y-y,ب ي ن ا ل ه ا ي ي,10,2,187
root,3,ʿ-b-d · a-l-h · a-l-h,ع ب د ا ل ه ا ل ه,10,2,133
root,3,ʿ-l-m · gh-y-b · sh-h-d,ع ل م غ ي ب ش ه د,10,6,73
root,3,ʿ-l-m · s-m-w · a-r-ḍ,ع ل م س م و ا ر ض,10,3,29
root,3,h-d-y · q-w-m · ẓ-l-m,ه د ي ق و م ظ ل م,10,2,258
root,3,k-w-n · a-m-n · a-l-h,ك و ن ا م ن ا ل ه,10,2,228
root,3,n-b-a · k-w-n · ʿ-m-l,ن ب ا ك و ن ع م ل,10,5,105
root,3,q-w-l · q-w-m · ʿ-b-d,ق و ل ق و م ع ب د,10,7,59
root,3,s-b-ḥ · ḥ-m-d · r-b-b,س ب ح ح م د ر ب ب,10,15,98
root,4,a-l-h · h-d-y · q-w-m · ẓ-l-m,ا ل ه ه د ي ق و م ظ ل م,10,2,258
root,4,q-w-l · q-w-m · ʿ-b-d · a-l-h,ق و ل ق و م ع ب د ا ل ه,10,7,59
surface,3,أصحب النار هم,أصحب النار هم,10,2,39
surface,3,إن الله عليم,إن الله عليم,10,3,119
surface,3,إن الله يحب,إن الله يحب,10,2,195
surface,3,إن كنتم تعلمون,إن كنتم تعلمون,10,2,184
surface,3,إن كنت من,إن كنت من,10,7,70
surface,3,الحمد لله الذى,الحمد لله الذى,10,6,1
surface,3,الذين ءامنوا إن,الذين ءامنوا إن,10,3,100
surface,3,الله غفورا رحيما,الله غفورا رحيما,10,4,96
surface,3,الله لا يحب,الله لا يحب,10,2,190
surface,3,الله ما لكم,الله ما لكم,10,7,59
surface,3,الله من فضله,الله من فضله,10,2,90
surface,3,النار هم فيها,النار هم فيها,10,2,39
surface,3,بما كانوا يعملون,بما كانوا يعملون,10,6,108
surface,3,تر أن الله,تر أن الله,10,14,19
surface,3,ذلك على الله,ذلك على الله,10,4,30
surface,3,علم الغيب والشهدة,علم الغيب والشهدة,10,6,73
surface,3,على الله الكذب,على الله الكذب,10,3,75
surface,3,فاتقوا الله وأطيعون,فاتقوا الله وأطيعون,10,3,50
surface,3,فما له من,فما له من,10,13,33
surface,3,فى الأرض ولا,فى الأرض ولا,10,3,5
surface,3,فى قلوبهم مرض,فى قلوبهم مرض,10,2,10
surface,3,فيها من كل,فيها من كل,10,2,164
surface,3,لا ريب فيه,لا ريب فيه,10,2,2
surface,3,لكم من إله,لكم من إله,10,7,59
surface,3,له ملك السموت,له ملك السموت,10,2,107
surface,3,من ولى ولا,من ولى ولا,10,2,107
surface,3,واتقوا الله إن,واتقوا الله إن,10,5,2
surface,3,وعد الله حق,وعد الله حق,10,10,55
surface,3,ولقد ءاتينا موسى,ولقد ءاتينا موسى,10,2,87
surface,3,ومن الناس من,ومن الناس من,10,2,8
surface,3,وهم لا يشعرون,وهم لا يشعرون,10,7,95
surface,3,وهو على كل,وهو على كل,10,5,120
surface,3,يهدى القوم الظلمين,يهدى القوم الظلمين,10,2,258
surface,4,أصحب النار هم فيها,أصحب النار هم فيها,10,2,39
surface,4,ألم تر أن الله,ألم تر أن الله,10,14,19
surface,4,إن الذين ءامنوا وعملوا,إن الذين ءامنوا وعملوا,10,2,277
surface,4,افترى على الله كذبا,افترى على الله كذبا,10,6,21
surface,4,الله ما لكم من,الله ما لكم من,10,7,59
surface,4,النار هم فيها خلدون,النار هم فيها خلدون,10,2,39
surface,4,لا يهدى القوم الظلمين,لا يهدى القوم الظلمين,10,2,258
surface,4,له ملك السموت والأرض,له ملك السموت والأرض,10,2,107
surface,4,ما كانوا به يستهزءون,ما كانوا به يستهزءون,10,6,5
surface,4,وهو على كل شىء,وهو على كل شىء,10,5,120
surface,5,أصحب النار هم فيها خلدون,أصحب النار هم فيها خلدون,10,2,39
surface,5,إن الذين ءامنوا وعملوا الصلحت,إن الذين ءامنوا وعملوا الصلحت,10,2,277
root,3,dh-k-r · a-w-l · l-b-b,ذ ك ر ا و ل ل ب ب,9,2,269
root,3,dh-k-r · s-m-w · a-l-h,ذ ك ر س م و ا ل ه,9,5,4
root,3,sh-y-a · a-l-h · k-l-l,ش ي ا ا ل ه ك ل ل,9,2,284
root,3,a-l-h · ʿ-m-l · kh-b-r,ا ل ه ع م ل خ ب ر,9,2,234
root,3,a-l-h · r-b-b · r-b-b,ا ل ه ر ب ب ر ب ب,9,2,139
root,3,a-l-h · w-l-y · n-ṣ-r,ا ل ه و ل ي ن ص ر,9,2,107
root,3,a-m-n · w-q-y · a-l-h,ا م ن و ق ي ا ل ه,9,2,278
root,3,a-r-ḍ · b-ʿ-d · m-w-t,ا ر ض ب ع د م و ت,9,2,164
root,3,b-s-ṭ · r-z-q · sh-y-a,ب س ط ر ز ق ش ي ا,9,13,26
root,3,b-y-n · y-w-m · q-w-m,ب ي ن ي و م ق و م,9,2,113
root,3,ʿ-m-l · ṣ-l-ḥ · j-n-n,ع م ل ص ل ح ج ن ن,9,2,25
root,3,h-l-k · q-b-l · q-r-n,ه ل ك ق ب ل ق ر ن,9,6,6
root,3,ḥ-y-y · a-r-ḍ · b-ʿ-d,ح ي ي ا ر ض ب ع د,9,2,164
root,3,k-f-r · ʿ-dh-b · a-l-m,ك ف ر ع ذ ب ا ل م,9,2,104
root,3,k-w-n · a-l-h · ʿ-l-m,ك و ن ا ل ه ع ل م,9,4,17
root,3,q-w-l · a-l-h · ʿ-l-m,ق و ل ا ل ه ع ل م,9,2,80
root,3,q-w-l · a-l-h · q-w-l,ق و ل ا ل ه ق و ل,9,10,31
root,3,q-w-l · k-w-n · k-w-n,ق و ل ك و ن ك و ن,9,2,117
root,3,w-ʿ-d · k-w-n · ṣ-d-q,و ع د ك و ن ص د ق,9,7,70
root,3,ẓ-l-m · f-r-y · a-l-h,ظ ل م ف ر ي ا ل ه,9,6,21
root,4,a-m-n · ʿ-m-l · ṣ-l-ḥ · j-n-n,ا م ن ع م ل ص ل ح ج ن ن,9,2,25
root,4,ʿ-b-d · a-l-h · a-l-h · gh-y-r,ع ب د ا ل ه ا ل ه غ ي ر,9,7,59
root,4,ḥ-y-y · a-r-ḍ · b-ʿ-d · m-w-t,ح ي ي ا ر ض ب ع د م و ت,9,2,164
root,4,k-w-n · a-l-h · gh-f-r · r-ḥ-m,ك و ن ا ل ه غ ف ر ر ح م,9,4,96
root,4,ẓ-l-m · f-r-y · a-l-h · k-dh-b,ظ ل م ف ر ي ا ل ه ك ذ ب,9,6,21
surface,3,ءاتينا موسى الكتب,ءاتينا موسى الكتب,9,2,53
surface,3,أجرى إلا على,أجرى إلا على,9,10,72
surface,3,أظلم ممن افترى,أظلم ممن افترى,9,6,21
surface,3,إلا أن قالوا,إلا أن قالوا,9,3,147
surface,3,إن أجرى إلا,إن أجرى إلا,9,10,72
surface,3,إن الله على,إن الله على,9,2,20
surface,3,اعبدوا الله ما,اعبدوا الله ما,9,7,59
surface,3,الذين كذبوا بايتنا,الذين كذبوا بايتنا,9,6,150
surface,3,الرزق لمن يشاء,الرزق لمن يشاء,9,13,26
surface,3,الله إلها ءاخر,الله إلها ءاخر,9,15,96
surface,3,الله الذين ءامنوا,الله الذين ءامنوا,9,2,213
surface,3,الله بكل شىء,الله بكل شىء,9,2,231
surface,3,الله لا إله,الله لا إله,9,2,255
surface,3,الله من شىء,الله من شىء,9,7,185
surface,3,الله يعلم ما,الله يعلم ما,9,2,77
surface,3,بعضهم على بعض,بعضهم على بعض,9,2,253
surface,3,بما أنزل الله,بما أنزل الله,9,2,90
surface,3,تدعون من دون,تدعون من دون,9,6,56
surface,3,خير لكم إن,خير لكم إن,9,2,184
surface,3,دون الله ما,دون الله ما,9,5,76
surface,3,عيسى ابن مريم,عيسى ابن مريم,9,2,87
surface,3,فانظر كيف كان,فانظر كيف كان,9,7,84
surface,3,فى الأرض جميعا,فى الأرض جميعا,9,2,29
surface,3,كذلك يبين الله,كذلك يبين الله,9,2,187
surface,3,كنت من الصدقين,كنت من الصدقين,9,7,70
surface,3,مع الله إلها,مع الله إلها,9,15,96
surface,3,ممن افترى على,ممن افترى على,9,6,21
surface,3,من إله غيره,من إله غيره,9,7,59
surface,3,من الله شيا,من الله شيا,9,3,10
surface,3,من الله من,من الله من,9,2,120
surface,3,وكان الله غفورا,وكان الله غفورا,9,4,96
surface,3,ومن أظلم ممن,ومن أظلم ممن,9,2,114
surface,3,يبسط الرزق لمن,يبسط الرزق لمن,9,13,26
surface,3,يبين الله لكم,يبين الله لكم,9,2,219
surface,3,يقوم اعبدوا الله,يقوم اعبدوا الله,9,7,59
surface,4,أظلم ممن افترى على,أظلم ممن افترى على,9,6,21
surface,4,إن أجرى إلا على,إن أجرى إلا على,9,10,72
surface,4,إن الله على كل,إن الله على كل,9,2,20
surface,4,إن الله لا يحب,إن الله لا يحب,9,2,190
